accommodatie_id;accommodatie naam;bouwjaar;X;Y;adres;postcode;plaatsnaam;gemeente;provincie;aantal voorzieningen;aantal indoor voorzieningen;aantal outdoor voorzieningen;aantal outdoor kunstgrasvelden;aantal outdoor natuurgrasvelden;aantal outdoor semi-watervelden;aantal outdoor watervelden;aantal sporthallen;aantal sportzalen;aantal gymzalen;sport
13839;van bijnkershoeklaan;1973;135144;454717;van bijnkershoeklaan 6;3527xl;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
13839;van bijnkershoeklaan;1973;135144;454717;van bijnkershoeklaan 6;3527xl;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;vechtsport
13839;van bijnkershoeklaan;1973;135144;454717;van bijnkershoeklaan 6;3527xl;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;volleybal
13839;van bijnkershoeklaan;1973;135144;454717;van bijnkershoeklaan 6;3527xl;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13840;Gymzaal Marco Pololaan;1973;135267;453087;Marco Pololaan 487;3526gh;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
13840;Gymzaal Marco Pololaan;1973;135267;453087;Marco Pololaan 487;3526gh;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
13840;Gymzaal Marco Pololaan;1973;135267;453087;Marco Pololaan 487;3526gh;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;vechtsport
13840;Gymzaal Marco Pololaan;1973;135267;453087;Marco Pololaan 487;3526gh;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;volleybal
13840;Gymzaal Marco Pololaan;1973;135267;453087;Marco Pololaan 487;3526gh;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13841;Gymzaal Marco Pololaan;1965;135335;453050;Marco Pololaan 523;3526gh;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;badminton
13841;Gymzaal Marco Pololaan;1965;135335;453050;Marco Pololaan 523;3526gh;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
13841;Gymzaal Marco Pololaan;1965;135335;453050;Marco Pololaan 523;3526gh;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
13841;Gymzaal Marco Pololaan;1965;135335;453050;Marco Pololaan 523;3526gh;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;gymnastiek
13841;Gymzaal Marco Pololaan;1965;135335;453050;Marco Pololaan 523;3526gh;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;vechtsport
